start,filename,top_text,bottom_text
00:00:42,clip02_taurus.mp4,4/6～4/12\n牡牛座の運勢,価値観の刷新と\n調和がテーマ
00:03:58,clip03_gemini.mp4,4/6～4/12\n双子座の運勢,内面を見つめる\n「深い言語化」の時
00:07:52,clip04_cancer.mp4,4/6～4/12\n蟹座の運勢,ずっと叶えたかったことに\n光が当たるタイミング
00:11:41,clip05_leo.mp4,4/6～4/12\n獅子座の運勢,大きな変容と\n再出発の週
00:15:14,clip06_virgo.mp4,4/6～4/12\n乙女座の運勢,「手放し」がテーマ
00:18:58,clip07_libra.mp4,4/6～4/12\n天秤座の運勢,"周りの意見より\n「自分はどうしたいか」\nという内なる声に従って"
00:22:51,clip08_scorpio.mp4,4/6～4/12\n蠍座の運勢,"抱え込みすぎず、\n内側から湧き出た感情を\n外側へ向けてアウトプット"
00:26:45,clip09_sagittarius.mp4,4/6～4/12\n射手座の運勢,直感が冴え渡る週
00:29:23,clip10_capricorn.mp4,4/6～4/12\n山羊座の運勢,節目となる週
00:33:19,clip11_aquarius.mp4,4/6～4/12\n水瓶座の運勢,感情の変容と\nアップデートの時
00:35:55,clip12_pisces.mp4,4/6～4/12\n魚座の運勢,"感覚を言葉にし、\n次の行動へつなげる移行期"
