output,start,end,top_text,bottom_text
clip02_taurus.mp4,00:00:45,00:01:12,4/6～4/12|牡牛座の運勢,価値観の刷新と|調和がテーマ
clip02_taurus.mp4,00:02:20,00:02:47,4/6～4/12|牡牛座の運勢,直感に従って動き|豊かな暮らしへ
clip03_gemini.mp4,00:04:01,00:04:28,4/6～4/12|双子座の運勢,内面を見つめる|深い言語化の時
clip03_gemini.mp4,00:05:55,00:06:22,4/6～4/12|双子座の運勢,静かに過ごし|言葉を待つのが吉
clip04_cancer.mp4,00:07:55,00:08:22,4/6～4/12|蟹座の運勢,叶えたかったことに|光が当たるとき
clip04_cancer.mp4,00:09:46,00:10:13,4/6～4/12|蟹座の運勢,タロットが示す|開運のヒントは？
clip05_leo.mp4,00:11:44,00:12:11,4/6～4/12|獅子座の運勢,大きな変容と|再出発の週
clip05_leo.mp4,00:13:27,00:13:54,4/6～4/12|獅子座の運勢,新しい自分へ|勇気を持って一歩
clip06_virgo.mp4,00:15:17,00:15:44,4/6～4/12|乙女座の運勢,「手放し」が|テーマの一週間
clip06_virgo.mp4,00:17:05,00:17:32,4/6～4/12|乙女座の運勢,執着を手放して|軽やかに前へ
clip07_libra.mp4,00:19:01,00:19:28,4/6～4/12|天秤座の運勢,周りより自分の|内なる声に従って
clip07_libra.mp4,00:20:54,00:21:21,4/6～4/12|天秤座の運勢,自分軸を大切に|決断する一週間
clip08_scorpio.mp4,00:22:54,00:23:21,4/6～4/12|蠍座の運勢,感情を抱え込まず|外へアウトプット
clip08_scorpio.mp4,00:24:48,00:25:15,4/6～4/12|蠍座の運勢,内側の変容が|外側に現れる週
clip09_sagittarius.mp4,00:26:48,00:27:15,4/6～4/12|射手座の運勢,直感が冴え渡る|一週間
clip09_sagittarius.mp4,00:28:04,00:28:31,4/6～4/12|射手座の運勢,閃きをそのまま|行動に移して
clip10_capricorn.mp4,00:29:26,00:29:53,4/6～4/12|山羊座の運勢,節目となる|大切な一週間
clip10_capricorn.mp4,00:31:21,00:31:48,4/6～4/12|山羊座の運勢,次のステージへの|準備を整えて
clip11_aquarius.mp4,00:33:22,00:33:49,4/6～4/12|水瓶座の運勢,感情の変容と|アップデートの時
clip11_aquarius.mp4,00:34:37,00:35:04,4/6～4/12|水瓶座の運勢,新しい気づきを|受け入れる週
clip12_pisces.mp4,00:35:58,00:36:25,4/6～4/12|魚座の運勢,感覚を言葉にする|移行期の一週間
clip12_pisces.mp4,00:37:13,00:37:40,4/6～4/12|魚座の運勢,次の行動へ|つなげるタイミング
